Africa    n.非洲
consult    vt.请教，查阅
consume    vt.消耗，消费；消灭
consumer    n.消费者，用户
consumerism    n.商品的消费和销售性服务；消费主义；用户至上主义
consumption    n.消费(量)，灭绝
contact    vt.使接触；与…联系
contain    vt.包含，容纳；等于
container    n.容器；集装箱
containerization    n.集装箱化
contemporary    a.当代的，同时代的
content    a.满意的，满足的
contest    vt.争夺，争取；辩驳
continent    n.大陆；陆地；洲
continual    a.不断的；连续的
continue    vt.继续，连续；延伸
continuous    a.连续不断的，持续的
contract    n.契约，合同；婚约
contractor    n.立契约的人；承包商
contradiction    n.矛盾，不一致；否认
contrary    n.反对命题
contrast    vt.使对比vi.形成对比
contribute    vt.捐献，捐助；投稿
contribution    n.贡献；捐款(赠)；投稿
contributor    n.贡献者；捐助者；赠送者；投稿人；原因
control    vt.控制，克制
controller    n.控制者；管理者；审计官；控制器
convenience    n.便利，方便；厕所
convenient    a.便利的；近便的
convention    n.公约，(换俘等)协定
conventional    a.普通的；习惯的
conversation    n.会话，非正式会谈
convert    vt.转变，改变，变换
convertible    adj.可改变的；可转换的；同意义的 n.敞篷车
convey    vt.传达；传播；转让
conveyance    n.运输；运输工具；[法律]财产让与
convince    vt.使确信，使信服
cook    vt.烹调，煮
cooker    n.炉具；烹饪用的水果
cool    a.凉的，冷静的
cooperate    vi.合作，协作；配合
coordinate    a.同等的
cope    vi.对付，应付
copper    n.铜；铜币，铜制器
copy    n.抄件
copyright    n.版权；著作权 v.获得版权 adj.受版权保护的
core    n.果实的心，核心
corn    n.谷物；(英)小麦
corner    n.角；犄角；边远地区
corporation    n.公司，企业；社团
correct    a.正确的
correction    n.改正，纠正，修改
correspond    vi.相符合；相当
corresponding    a.相应的；符合的
corridor    n.走廊，回廊，通路
corrupt    vt.贿赂
cost    n.价格，代价；成本
costing    n.成本计算
costly    a.昂贵的；价值高的
cottage    n.村舍，小屋
cotton    n.棉；棉线；棉布
cough    vi.咳，咳嗽
could    aux.v.(can的过去式)
council    n.理事会，委员会
counseling    n.顾问服务
count    n.起拆理由，罪状
counter    a.&ad.相反的(地)
counterfeit    n.膺品；伪造品 adj.假冒的；假装的 v.仿造；伪装；假装
counterfoil    n.（支票；收据等的）存根；票根
countless    adj.无数的；多的数不清的
country    n.国家，国土；农村
countryside    n.乡下，农村
county    n.英国的郡，美国的县
couple    n.夫妇；(一)对；几个
courage    n.勇气，胆量，胆识
course    n.课程；过程；一道菜
court    n.法院，法庭；庭院
cousin    n.堂(或表)兄弟(姐妹)
cover    vt.盖，包括
cow    n.母牛，奶牛；母兽
crash    vi.撞坏，摔坏，砸碎
crazy    a.疯狂的，荒唐的
cream    n.奶油，乳脂；奶油色
create    vt.创造；引起，产生
creative    a.创造性的，创作的
creature    n.生物，动物，家畜
credit    vt.&n.相信，信任
crew    n.全体船员
crime    n.罪，罪行；犯罪
criminal    n.犯人，罪犯，刑事犯
crisis    n.危机；转折点
critic    n.批评家，爱挑剔的人
critical    a.决定性的；批评的
criticism    n.批评；批判；评论
criticize    vt.批评；评论；非难
crop    n.农作物，庄稼；一熟
cross    a.易怒的；杂交的
crowd    n.群；大众；一伙人
crowed    n.乌鸦；啼叫；欢叫 v.报晓；啼叫；欢叫；夸口；洋洋自得
crown    n.王冠，冕；花冠
crude    a.简陋的；天然的
cruel    a.残忍的，残酷的
crush    vt.压碎，碾碎；镇压
cry    vi.哭，哭泣；叫喊
cube    n.立方形；立方
cubic    a.立方体的；立方的
cucumber    n.黄瓜
cultivate    vt.耕；种植；培养
culture    n.文化，文明；教养
cunning    a.狡猾的，狡诈的
cup    n.杯子；(一)杯；奖杯
cupboard    n.碗柜，碗碟橱；食橱
curb    n.路边；克制；勒马绳 vt.抑制；勒住；牵(狗)到合适地方大小便
cure    vt.医治；消除
curiosity    n.好奇，好奇心；珍品
curious    a.好奇的；稀奇古怪的
curl    n.卷毛；螺旋
currency    n.通货；通用；市价
current    a.当前的；通用的
curtain    n.帘，窗帘；幕(布)
curve    n.曲线；弯
custom    n.海关，关税
customer    n.顾客，主顾
cut    vt.切，割，剪；减少
cutback    n.减少；削减；剪修新芽
cycle    n自行车，循环
daily    a.每日的
dairy    n.牛奶场；乳制品
dam    n.水坝，水堤；障碍物
damage    vt.损害，毁坏
damp    a.潮湿的，有湿气的
dance    vi.跳舞；摇晃
danger    n.危险；危险事物
dangerous    a.危险的，不安全的
dare    vt.&aux.v.敢；竟敢
dark    a.暗的；黑色的
darling    n.亲爱的人；宠儿
dash    vt.使猛撞；溅
data    n.数据;
date    n.日期
daughter    n.女儿
dawn    n.黎明；开端
day    n.(一)天，白昼，白天
daylight    n.白昼，日光；黎明
dead    a.死的，无生命的
deadline    n.最后期限；(鉴于边上的)警戒线；截止时间
deadly    a.致命的，死一般的
deaf    a.聋的；不愿听的
deal    vi.做买卖；对付
dealer    n.商人，贩子；发牌者
dear    a.亲爱的
death    n.死，死亡；灭亡
debate    n.&vi.争论，辩论
debenture    n.信用债券；退税证明书
debit    n.借方；借项；借；缺点 vt.记入借方
debt    n.债，债务，欠债
debt-ridden    adj.负债累累的；债务缠身的
debtee    n.债权人
debtor    n.借方；债务人
decade    n.十年，十年期
deceive    vt.欺骗，蒙蔽，行骗
decent    a.正派的；体面的
decide    vt.决定，决心；解决
decision    n.决定，决心；果断
deck    n.甲板；舱面；层面
declare    vt.断言；声明；表明
decline    vt.下倾；偏斜；衰退
decorate    vt.装饰，装璜，修饰
decrease    vi.&n.减少，减少
deduce    vt.演绎，推论，推断
deduct    vt.扣除；演绎
deed    n.行为；功绩；契约
deep    a.深的；纵深的
deepen    vt.加浓
deer    n.鹿
default    n.&vi.不履行；缺席
defeat    vt.战胜，击败；挫败
defects    n.不合格品
defence    n.防御；防务；辩护
defend    vt.保卫，防守
defense    n.防卫；防卫物；辩护 vt.防守
deficit    n.赤字；逆差；亏损；亏空；不足
define    vt.规定；立(界限)
definite    a.明确的；肯定的
definition    n.定义，释义；定界
degree    n.程度；度；学位
delay    vt.推迟；耽搁；延误
delegate    n.代表，委员，特派员
delegation    n.代表团
delete    vt.删除；擦掉
delicate    a.纤细的；易碎的
delicious    a.美味的，怡人的
delight    n.快乐
delighted    adj.高兴的；快乐的 v.快乐；喜悦
deliver    vt.投递，送交；发表
delivery    n.投递；交付；分娩
demand    vt.要求；需要；询问
democracy    n.民主，民主制
democratic    a.民主的，民主政体的
demonstrate    vt.说明；论证；表露
dense    a.密集的；浓厚的
deny    vt.否定；拒绝相信
depart    vi.离开，起程；出发
department    n.部，司，局，处，系
departure    n.离开，出发，起程
depend    vi.依靠，依赖；相信
dependent    a.依靠的，依赖的
deposit    n.押金；寄存物
depreciation    n.贬值；减价；折旧
depress    vt.使沮丧；按下
depression    n.消沉；不景气萧条期
deprive    vt.夺去；使(人)失去
depth    n.深度；深厚；深处
derive    vt.取得
describe    vt.形容；描写，描绘
description    n.描写，形容；种类
desert    vt.遗弃；擅离(职守)
deserve    vt.应受，值得
design    vt.设计
desirable    a.值得相望的；可取的
desire    vt.相望；要求
desk    n.书桌，办公桌
despair    n.绝望
desperate    a.拼死的；绝望的
despite    prep.不管，不顾
destroy    vt.破坏；消灭；打破
destruction    n.破坏，毁灭，消灭
detail    n.琐碎，小事
detect    vt.察觉，发觉；侦察
determination    n.决心；决定；确定
determine    vt.决定；查明；决心
determined    adj.坚定的；坚决的；果断的；确定的，既定的
devalue    v.贬值；降低价值
develop    vt.使(颜色等)显现
development    n.发展；开发；生长
devil    n.魔鬼，恶魔
devise    vt.设计，发明
devote    vt.将…奉献，致力于
diagram    n.图解，图表，简图
dial    n.钟面；拨号盘
dialect    n.方言，土语，地方话
dialog    n.对话，对白
dialogue    n.对话 v.对话
diameter    n.直径
diamond    n.金钢石，钻石；菱形
diary    n.日记，日记簿
dictation    n.口授笔录，听写
dictionary    n.词典，字典
die    vi.死，死亡；灭亡
diet    n.饮食，食物
differ    vi.不同，相异
difference    n.差别；差；分歧
different    a.差异的；各种的
difficult    a.难以满足的
difficulty    a.困难；难事；困境
dig    vt.掘，挖；采掘
digest    vt.消化；领会
digit    n.数字；位数；手指；脚趾
diligent    a.勤勉的，勤奋的
dine    vi.吃饭
dinner    n.正餐，主餐；宴会
dip    vt.浸，蘸
direct    a.直接的；直率的
direction    n.方向，方位；指导
director    n.指导者；理事；导演
dirt    n.尘，土；污物，污垢
dirty    a.脏的；下流的
disadvantage    n.不利，不利地位
disagree    vi.有分歧；不一致
disappear    vi.不见，失踪；消失
disappoint    vt.使失望，使受挫折
disappointment    n.失望；令人失望的人或事
disapprove    v.不赞成
disaster    n.灾难，灾祸；天灾
disc    n.唱片；圆盘；盘状物；花盘；磁盘（=disk） pref.表示“盘；盘状物；唱片” abbr.折扣（=discount）
discharge    vt.释放；排出
discipline    n.纪律；训练
disclose    vt.揭开，揭发；透露
discount    n.折扣；打折扣卖
discourage    vt.使泄气，使灰心
discover    vt.发现；暴露，显示
discovery    n.发现；被发现的事物
discuss    vt.讨论，谈论；论述
discussion    n.讨论，谈论；论述
disease    n.病，疾病；病害
disguise    vi.隐瞒，掩埋
dish    n.碟，盘子；菜肴
dishonor    n. 不名誉； 羞辱； 拒付 vt. 侮辱； 使 ... 蒙羞； 拒付(支票、汇票、票据等)
disinflation    n.反通货膨胀
disk    n.圆盘，唱片；磁盘
dislike    vt.&n.不喜爱，厌恶
dismiss    vt.忘掉
disorder    n.疾病，小病
display    vt.陈列，展览；显示
displease    vt.使不愉快，使生气
dispute    vi.争论，争执
dissatisfy    vi.使不满，使不平
dissolution    n.破裂；瓦解；解体；解散；溶解
dissolve    vt.解除(婚约等)
distance    n.距离，间距；远处
distant    a.在远处的，疏远的
distinct    a.独特的
distinguish    v.使显出特色，使杰出
distrain    v.扣押；扣押财物
distribute    vt.分发，分送；分布
distribution    n.分发，分配；分布
district    n.区；地区，区域
disturb    vt.打扰，扰乱；弄乱
ditch    n.沟，沟渠，渠道
dive    vi.跳水；潜水；俯冲
divide    vt.分；分配；分开
dividend    n.股息；红利；被除数；彩金；回报
division    n.分，分配；除法
divorce    n.离婚，离异
do    aux.v.
dock    vt.把…引入船坞
docking    n.停靠；扣工资
doctor    n.医生，医师；博士
document    n.公文，文件；证件
dog    n.狗，犬，犬科动物
dole    vt.发放救济 n.施舍品；失业救济金 n.<古>悲伤
dollar    n.元(货币单位)
domestic    a.养在家里的
donkey    n.驴；笨蛋
door    n.门，通道；一家
dormitory    n.集体寝室；宿舍
dose    n.剂量，用量；一剂
dot    n.点，圆点
double    a.两倍的；双的
doubt    n.怀疑；疑虑
doubtful    a.难以预测的；怀疑的
down    ad.向下，在下面
downstairs    ad.在楼下
dozen    n.一打，十二个
draft    n.草稿；汇票
drag    vt.拖，拉；拖曳
drain    vi.(水等)流掉
drama    n.戏剧性事件；戏剧性
dramatic    a.引人注目的，戏剧的
draw    vt.画，划；拖；拨出
drawback    n.退款；妨碍；弊端
drawer    n.抽屉
drawing    n.图画，素描；绘图
dread    n.畏惧；恐怖
dream    n.梦；梦想
dress    n.女服，童装；服装
drill    n.钻头；操练
drink    vt.饮
drip    vi.滴下；漏水
drive    vt.驾驶；打入；驱
driver    n.驾驶员，司机
drop    vt.使落下；降低
drought    n.旱灾，干旱
drown    vi.淹死，溺死
drug    n.药，药物，药材
drum    n.鼓；鼓状物，圆桶
drunk    a.醉的；陶醉的
dry    a.干巴巴的，枯燥的
duck    n.鸭，雌鸭；鸭肉
due    a.预期的；应给的
dull    a.枯燥的；不鲜明的
dumb    a.哑的；无言的
dump    vt.倾卸，倾倒；倾销
durable    a.耐久的，耐用的
duration    n.持续，持久
during    prep.在…期间
dusk    n.薄暮，黄昏，幽暗
dust    n.垃圾，废品，灰烬
duty    n.职责；责任；税
dye    vt.染
dying    a.垂死的；临终的
each    pron.各，各自
eager    a.渴望的，热切的
ear    n.(稻麦等的)穗
early    ad.早
earn    vt.赚得，挣得；获得
earnest    a.认真的，诚恳的
earnings    n.工资，收入；收益
earth    n.地球；陆地，地面
earthquake    n.地震；大震荡
ease    n.容易，舒适
easily    ad.容易地；舒适的
east    n.东；东部
eastern    a.东方的；朝东的
easy    a.容易的；安逸的
eat    vt.吃，喝
echo    vt.反射(声音等)
economic    a.经济的，经济学的
economical    a.节约的；经济学的
economics    n.经济学；经济
economy    n.经济；节约，节省
edge    n.边缘，边；刀口
edit    vt.编辑，编纂；校订
edition    n.版，版本，版次
editor    n.编辑，编者，校订者
educate    vt.教育；培养；训练
education    n.教育；训导；教育学
educator    n.教育工作者，教师，老师；教育学家；教育行政官员
effect    n.结果；效果，效力
effective    a.有效的；有影响的
efficiency    n.效率；功效，效能
efficient    a.效率高的，有能力的
effort    n.努力；努力的成果
egg    n.蛋，鸡蛋，卵
eight    num.八，八个，第八
eighteen    num.十八，十八个
eighth    num.第八
eighty    num.八十，八十个
either    pron.(两者)任何一个
elder    a.年龄较大的
elect    vt.选举，推选；选择
election    n.选举，选择权；当选
electric    a.电的，电动的
electrical    a.电的，电气科学的
electricity    n.电，电学；电流
electron    n.电子
electronic    a.电子的
electronics    n.电子学
element    n.成分；要素；元素
elementary    a.基本的；初级的
elephant    n.象
elevator    n.电梯；升降机
eleven    num.十一，十一个
eleventh    num.第十一(个)
eliminate    vt.消灭，消除，排除
elimination    n.消灭，排除，消除
else    ad.其它，另外
elsewhere    ad.在别处，向别处
embarrass    vt.使负债；使复杂化
embezzle    vt.盗用；挪用
emerge    vi.浮现，出现；显露
emergency    n.紧急情况，突然事件
emit    vt.散发；发射；发表
emotion    n.情感，感情；激动
emotional    a.感情的，情绪的
emperor    n.皇帝
emphasis    n.强调，重点，重要性
emphasize    vt.强调，着重
empire    n.帝国
employ    vi.雇用；用；使忙于
employee    n.受雇者，雇员，雇工
employer    n.雇佣者，雇主
employment    n.工业；雇用；使用
empty    a.空的；空洞的
enable    vt.使能够，使可能
enclosure    n.围绕；围场，围栏
encounter    vt.遭遇，遇到
encourage    vt.鼓励，支持，助长
encouragement    n.鼓励；激励
end    n.目标，目的
ending    n.结尾，结局；死亡
endless    a.无止境的
endorse    vt.赞同；支持；背书于
endorsee    n.被背书人；被转让人；承受票据的人
endorsement    n.支持；认可；背书
endorser    n.背书人；转让人
endure    vt.忍受；容忍
enemy    n.敌人；仇敌；敌兵
energetic    a.积极的；精力旺盛的
energy    n.活力；精力；能
enforce    vt.实施，执行；强制
engage    vt.使(齿轮等)啮合
engine    n.发动机，引擎；机车
engineer    n.工程师，技师
engineering    n.工程，工程学
enjoy    vt.享受；欣赏，喜爱
enjoyment    n.享受；令人愉快的事
enlarge    vt.扩大，扩展；放大
enormous    a.巨大的，庞大的
enough    a.足够的
ensure    vt.保证；保护；赋予
enter    vt.走进，进入；参加
enterprise    n.艰巨的事业；事业心
entertain    vt.使欢乐；招待
enthusiasm    n.热情，热心，热忱
enthusiastic    a.热情的，热心的
entire    a.全部的，整个的
entitle    vt.把…称作
entrance    n.入口，门口；进入
entry    n.通道；条目
envelope    n.信封；封套；封皮
environment    n.环境，外界；围绕
envy    vt.&n.妒忌；羡慕
equal    a.相等的；平等的
equality    n.等同，平等；相等
equator    n.赤道，天球赤道
equip    vt.装备，配备
equipment    n.装备，设备，配备
equivalent    a.等面(体)积的
era    n.时代，年代；纪元
error    n.错误，谬误；差错
escape    vi.逃跑；逸出
especial    adj.特别的；特殊的；特有的
especially    ad.特别，尤其，格外
essay    n.短文，散文，小品文
essential    a.特发的；自发的
establish    vt.使…被永久地接受
establishment    n.建立，设立，确立
estimate    vt.估计，评价
etc.    abbr.及其他；等等(=Et cetera) abbr.流出物处理元件 (= effluent treatment cell)
evaluate    vt.评价，估…的价
evasion    n.逃避；躲避；借口
eve    n.前夜，前夕，前一刻
even    a.同一日期的
evening    n.傍晚，黄昏，晚上
event    n.事件，大事；事变
eventually    ad.终于；最后
ever    ad.在任何时候；曾经
every    a.每一的；每隔…的
everybody    pron.每人，人人
everyday    a.每天的，日常的
everyone    pron.每人，人人
everything    pron.每件事，事事
everywhere    ad.到处，处处
evidence    n.根据；证据，证人
evident    a.明显的，明白的
evil    n.邪恶，罪恶；祸害
evolution    n.开方；(天体的)形成
ex-dividend    adj.无股利的；无股息的 adv.无股息；无红利
exact    a.确切的；精确的
exactly    ad.确切地；恰恰正是
exam    n.考试；检查，细查
examination    n.考试；检查，细查
examine    vt.检查，仔细观察
example    n.例子，实例；模范
exceed    vt.超过，胜过；超出
excellence    n.优秀；卓越；优点
excellent    a.优秀的，杰出的
except    vt.把…除外，除去
exception    n.例外，除外
exchange    vt.交换；交流
excise    n.货物税；消费税 vt.征税 vt.切除；删除
excite    vt.使激动；引起
excited    adj.感到兴奋的；激动的
exciting    a.令人兴奋的
exclaim    vi.呼喊；惊叫
exclude    vt.把…排除在外
excuse    vt.与…辩解；使免除
execute    vt.将…处死；实施
executive    n.总经理，董事
executor    n.(遗嘱)执行人
exempt    adj.免除的 vt.免除 n.免税者；被免除义务者
exemption    n.免除(税)
exercise    n.锻炼，训练
exert    vt.发挥(威力)，施加
exhaust    vt.使筋疲力尽；用尽
exhaustion    n.疲惫；筋疲力尽；竭尽
exhibit    vt.显示；陈列，展览
exhibition    n.展览，陈列；展览会
exist    vi.存在；生存，生活
existence    n.存在，实在；生存
exit    n.出口；退场
expand    vt.扩大；使膨胀
expansion    n.扩大，扩充；扩张
expect    vt.料想，认为
expectation    n.期待，期望，预期
expediter    n.稽查员
expenditure    n.(时间等)支出，消费
expense    n.花费，消费；费用
expensive    a.昂贵的，花钱多的
experience    n.经验，感受；经历
experiment    n.实验；试验
experimental    a.实验的，试验的
expert    n.专家
expire    vi.满期，到期；断气
explain    vt.解释；为…辩解
explanation    n.解释，说明；辩解
explode    vt.使爆炸
exploit    vt.剥削；利用；开拓
explore    vt.&vi.探险，探索
explosion    n.爆炸，爆发，炸裂
explosive    n.炸药
export    vt.输出，出口；运走
expose    vt.使暴露；揭露
express    vt.表示
expression    n.词句；表达；表情
extend    vt.延长；扩大；致
extensive    a.广阔的；广泛的
extent    n.广度；范围；程度
external    a.外部的，外面的
extra    n.附加物；额外的人手
extraordinary    a.非同寻常的，特别的
extreme    n.极端不同的性质
eye    n.眼睛；眼力；鉴赏力
eyesight    n.视力，目力
fabric    n.结构；织物；构造
face    n.表面；脸；表情 v.面对；面向；朝
facility    n.设备；容易；便利
fact    n.事实；实际，实情
factor    n.因素；因子，系数
factory    n.工厂，制造厂
fade    vi.褪色；逐渐消失
fail    vi.失败；失灵；不能
failure    n.失败；失败的人
faint    a.微弱的；虚弱的
fair    a.美丽的
faith    n.信任，信心；信仰
faithful    a.忠诚的；如实的
fake    n.假货，膺品
fall    vi.变成，成为；陷于
false    a.不真实的；伪造的
fame    n.名声，名望
familiar    a.熟悉的；冒昧的
family    n.家，家庭；家族
famine    n.饥荒；严重的缺乏
famous    a.著名的，出名的
fan    n.扇子，风扇
fancy    n.想象力；设想；爱好
far    a.远的
fare    n.车费，船费，票价
farm    n.农场，农庄；饲养场
farmer    n.农民，农夫；农场主
farming    n.农业；农耕；养殖；（租税等的）包收
farther    ad.更远地
fashion    n.样子，方式；风尚
fashionable    a.流行的，时髦的
fast    a.快的；偏快的
fasten    vt.扎牢，扣住
fat    adj.肥胖的；多脂肪的；丰满的 n.脂肪；肥肉 vt.使变胖
fatal    a.致命的；命运的
fate    n.命运，天数
father    n.父亲；神父；创始人
fatigue    n.疲劳，劳累
fault    n.缺点；过失；故障
faulty    a.有错误的，有缺点的
favor    n.偏爱；好意；特权；赞成 vt.偏爱；给予；支持；关心；利于；长得像
favorable    adj.有利的；顺利的；良好的；赞同的
favorite    adj.喜爱的；流行的 n.最喜爱的人或物；最有希望获胜的选手
favour    n.好感；赞同；恩惠
favourable    a.有利的；赞成的
favourite    a.特别受喜爱的
fax    n.传真 v.传真
fear    n.害怕；担心
fearful    a.害怕的，可怕的
feasibility    n.可行性；可能性，现实性
feasible    a.可行的；可能的
feast    n.盛宴，筵席；节日
feather    n.羽毛；翎毛；羽状物
feature    n.特征，特色；面貌
federal    a.联邦的；联盟的
fee    n.费，酬金；赏金
feed    vt.喂(养)
feedback    n.回授，反馈，反应
feel    vi.摸起来
feeler    n.试探者；试探；触角
feeling    n.感情；感觉，知觉
fellow    n.人，家伙；伙伴
female    n.雌性的动物；女子
fence    n.击剑(术)
fertile    a.(创造力)丰富的
fertilizer    n.肥料
festival    n.节日；音乐节
fetch    vt.拿来；请来，接去
fever    n.发热，发烧；狂热
few    a.很少的；少数的
fiber    n.纤维(物质)；性格；质地
fibre    n.纤维，纤维质
field    n.田野；田；运动场
fierce    a.凶猛的，狂热的
fifteen    num.十五；十五个
fifth    num.第五
fifty    num.五十，五十个
fight    vi.打(仗)；斗争
figure    n.数字；外形；人物
file    n.档案
fill    vt.担任(职务)；填补
film    n.影片；胶卷；薄层
filter    vi.滤过
final    a.最后的；决定性的
finally    ad.最后；不可更改的
finance    vt.提供资金
financial    a.财政的，金融的
financier    n.金融家；理财家
financing    n.融资；资金供应
find    vt.找到；发觉；找出
finding    n.发现；调查的结果
fine    n.罚金，罚款
finger    n.手指；指状物
finish    vt.完成，结束
fire    n.火；火灾
fireman    n.消防队员；司炉工
firm    n.商行，商号，公司
first    num.第一
fiscal    adj.财政的；国库的
fish    n.鱼，鱼肉
fisherman    n.渔民，渔夫，打鱼人
fishing    n.钓鱼；渔场；渔业
fist    n.拳(头)
fit    vt.适合；安装vi.适合
five    num.五，五个，第五
fix    vt.使固定；决定
flag    n.旗，旗帜；旗舰旗
flame    vi.发火焰
flare    vi.闪耀
flash    n.闪光
flat    n.一套房间；单元住宅
fleet    n.舰队；船队，机群
flesh    n.肉，肌肉；肉体
flexible    a.灵活的，可变通的
flight    n.溃退，逃跑；外流
float    n.漂浮物；浮标，木筏
flock    vi.群集，聚集
flood    n.洪水
floor    n.地板；楼层
floorwalker    n.巡视员
flour    n.面粉，粉；粉状物质
flourish    vi.繁荣，茂盛，兴旺
flow    vi.流动；飘垂；涨潮
flower    n.花，花卉；开花
flu    n.流行性感冒
fluctuation    n.波动；脉动；踌躇
fluent    a.流利的，流畅的
fluid    n.流体，液体
fly    v.飞跑，逃跑，消失
focus    vi.聚焦，注视
fog    n.雾；烟雾，尘雾
fold    vt.折叠；合拢
folder    n.文件夹；折叠者；折叠式印刷品
folk    n.人们，家属，亲属
follow    vt.从事(职业)，经营
following    a.接着的；下列的
folly    n.愚蠢；荒唐事
fond    a.喜爱的；溺爱的
food    n.食物，食品，养料
fool    n.蠢人，傻子
foolish    a.愚蠢的；鲁莽的
foot    n.脚；最下部；英尺
foot-note    n. 脚注 v. 加脚注于； 给 ... 作脚注
football    n.足球比赛；足球
footstep    n.脚步；脚步声；足迹
for    prep.为；给；因为
forbid    vt.禁止，不许；阻止
force    vt.强迫
forecast    n.预测，预报
forehead    n.额头，前部
foreign    a.无关的
foreigner    n.外国人
foremost    a.最初的；第一流的
forest    n.森林；森林地带
forever    ad.永远，总是，老是
forfeit    n.没收物；罚金；丧失 vt.没收；丧失 adj.丧失了的
forget    vt.忘记，遗忘
forgive    vt.原谅，饶恕，宽恕
fork    n.餐叉；叉；分叉
form    n.形式；形状
formal    a.形态的；规范的
formation    n.形成；构成；形成物
former    a.在前的
formula    n.公式，式
forth    ad.向前；向外，往外
fortnight    n.两星期，十四天
fortunate    a.幸运的，侥幸的
fortune    n.命运，运气；财产
forty    num.四十，第四十
forward    ad.向前，将来vt.转递
found    vt.创立，创办；建立
foundation    n.基础；地基；基金
four    num.四，四个，第四
fourteen    num.十四，第十四
fourth    num.第四，四分之一
fox    n.狐狸；狡猾的人
fraction    n.分数；分馏的部分
frame    n.框架，框子；构架
framework    n.机构，组织，体制
franchise    n.特许经销权；选举权；特权 vt.赋予特权；赋予公民权
franchisee    n.特许经营人
franchiser    n.特许经销商；授予特许者
frank    a.坦白的，直率的
free    a.自由的；空闲的
freedom    n.自由；自主
freeze    vi.冻；结冻vt.使结冰
freight    n.运费；货运；负担
frequency    n.频繁，屡次；频率
frequent    a.常见的；频繁的
fresh    a.新的；新鲜的
fridge    n.电冰箱
friend    n.朋友，友人
friendly    a.友好的，友谊的
friendship    n.友谊，友好
frighten    vt.使惊恐，吓唬
frog    n.蛙
from    prep.从…来；离开
front    a.前面的
frost    n.冰冻，严寒；霜
frugal    adj.节俭的；省钱的
fruit    n.水果；果实；成果
fruitful    a.多产的；肥沃的
fry    vt.油煎，油炸，油炒
fuel    n.燃料
fulfil    vt.履行；满足；完成
fulfillment    n.满足；完成；履行
full    a.满的；完全的
fun    n.乐趣，娱乐；玩笑
function    n.功能；职务；函数
fund    n.资金；基金；存款
fundamental    a.基础的，基本的
funeral    n.葬礼，丧礼，丧葬
funny    a.古怪的；滑稽的
fur    n.软毛；毛皮，裘皮
furious    a.狂暴的；强烈的
furnace    n.炉子，熔炉；鼓风炉
furnish    vt.供应，提供；装备
furniture    n.家具；装置，设备
further    vt.增进
furthermore    ad.而且，此外
furthest    adj.最远的 adv.最远
future    n.将来，未来；前途
futures    n.期货
gain    vt.获得；增加
gallery    n.长廊，游廊；画廊
gallon    n.加仑
gamble    n.赌博
game    n.游戏；比赛；猎物
gang    n.一帮，一伙
gap    n.山口，山峡；差距
garage    n.汽车修理站；飞机库
garbage    n.垃圾，污物，废料
garden    n.花园，菜园；公园
gardener    n.园丁，花匠
gas    n.煤气；气体；汽油
gaseous    a.气体的，气态的
gasolene    n.汽油；挥发油
gasoline    n.(美)汽油
gate    n.大门；篱笆门
gather    vt.推测，推断
gathering    n.集会，聚会，聚集
gay    a.快乐的；鲜明的
gaze    vi.凝视，盯，注视
general    a.总的；一般的n.将军
generally    ad.一般地；通常地
generate    vt.发生，产生；生成
generation    n.一代，一代人；产生
generator    n.发电机；发生者
generous    a.慷慨的；宽厚的
genius    n.天才，天赋，天资
gentle    a.和蔼的；轻柔的
gentleman    n.绅士；有教养的人
gently    ad.有礼貌地；柔和地
gentry    n.绅士；名流；贵族们
genuine    a.真的；真正的
geography    n.地理，地理学
geology    n.地质学；(某地)地质
germ    n.细菌，病原菌；幼芽
gesture    vi.(讲话时等)做手势
get    vi.变得，成为；到达
ghost    n.鬼，灵魂；鬼魂
giant    n.巨人；巨物
gift    n.礼物，赠品；天赋
girl    n.女孩子，姑娘；女儿
girlhood    n.少女时期
giroback    n.转账支票
give    vt.做，作；送给
glad    a.高兴的；乐意的
glance    vi.看一下
glare    vi.瞪眼
glass    n.玻璃；玻璃杯
global    a.球面的；全球的
globe    n.地球，世界；地界仪
gloomy    a.黑暗的；令人沮丧的
glorious    a.光荣的；壮丽的
glory    n.光荣；荣誉的事
glow    n.白热光
glue    vt.粘牢
glut    n.供过于求；过量 v.使充满；过量供应
go    vi.去；走；变为
goal    n.球门；得分；目的
goat    n.山羊
god    n.神；偶像；(复数)<英>剧院顶层楼座的观众；(大写)上帝 int.天呐
gold    n.金；钱财
golden    a.金色的；极好的
golf    n.高尔夫球
good    a.好的；有本事的
goodbye    int.再见，再会
goodness    n.善良，善行，美德
goods    n.货物，商品
goodwill    n.善意；亲切；友好；商誉；信誉
goose    n.鹅，雌鹅
govern    vt.决定，支配；控制
government    n.政府；治理；政治
governor    n.州长；主管人员
grace    n.优美，文雅；雅致
graceful    a.优美的，优雅的
grade    vt.给…分等级
gradual    a.逐渐的；渐进的
graduate    n.毕业生
graduation    n.毕业；毕业典礼；分度；刻度线；分级
graft    n.嫁接；移植；<美>贪污；<英>努力 v.嫁接；移植；<美>贪污；<英>努力
grain    n.谷物，谷粒；颗粒
gram    n.克 abbr.语法（=grammar） suf.写出或画出的东西
grammar    n.语法；语法书
grammatical    a.语法上的
grand    a.宏伟的；重大的
granddaughter    n.孙女，外孙女
grandfather    n.祖父；外祖父
grandmother    n.祖母，外祖母
